loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
14.0,2.0,1.0,1.0,27.0,116.69,0.15,6.67,17.56,643.78,0.04,35.77,10,0,2,0,10.0,9.0,16.0,15.0,3.0,0
40.0,3.0,1.0,3.0,117.0,624.5,0.05,18.64,29.02,10888.66,0.21,604.94,24,6,4,0,17.0,18.0,68.0,45.0,5.0,0
5.0,1.0,1.0,1.0,13.0,43.19,0.5,2.0,21.59,129.56,0.01,7.2,3,0,0,0,4.0,8.0,9.0,8.0,1.0,0
11.0,2.0,1.0,2.0,17.0,60.94,0.17,6.0,10.16,365.67,0.02,20.31,7,0,2,0,8.0,4.0,11.0,6.0,3.0,0
12.0,2.0,1.0,2.0,37.0,165.0,0.13,7.5,23.29,1168.74,0.05,64.93,8,0,2,0,10.0,10.0,22.0,15.0,3.0,0
7.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,4,0,1,0,5.0,4.0,6.0,4.0,1.0,0
50.0,15.0,1.0,3.0,132.0,712.54,0.02,44.0,16.32,57855.62,0.24,3214.2,37,4,6,0,17.0,13.0,80.0,58.0,29.0,1
33.0,3.0,1.0,3.0,119.0,686.04,0.06,17.04,39.98,11923.17,0.23,662.4,28,0,7,0,11.0,18.0,79.0,40.0,5.0,0
4.0,1.0,1.0,1.0,12.0,39.86,0.25,4.0,10.75,186.03,0.01,10.33,2,0,0,0,8.0,3.0,8.0,4.0,1.0,0
12.0,2.0,1.0,2.0,26.0,96.21,0.14,7.5,12.37,671.14,0.03,37.84,9,0,0,0,9.0,4.0,19.0,5.0,3.0,0
55.0,5.0,1.0,5.0,155.0,862.21,0.06,15.83,54.48,13740.44,0.29,763.74,46,2,5,0,14.0,30.0,87.0,68.0,9.0,0
30.0,4.0,1.0,4.0,67.0,318.58,0.07,13.14,24.27,4191.89,0.11,232.88,24,0,7,0,16.0,13.0,42.0,23.0,7.0,0
29.0,7.0,6.0,3.0,130.0,661.75,0.03,29.08,22.75,19230.61,0.22,1068.37,22,0,5,0,21.0,13.0,94.0,36.0,13.0,0
9.0,2.0,1.0,2.0,20.0,80.0,0.18,5.6,13.71,460.0,0.03,25.56,7,0,0,0,7.0,5.0,12.0,8.0,3.0,0
53.0,6.0,1.0,5.0,157.0,798.28,0.03,39.24,20.6,32336.09,0.27,1796.45,37,5,9,0,21.0,19.0,91.0,66.0,11.0,1
9.0,1.0,1.0,1.0,19.0,65.73,0.13,7.88,9.23,453.2,0.02,25.23,6,0,1,0,7.0,4.0,12.0,7.0,1.0,0
31.0,6.0,6.0,2.0,139.0,776.21,0.04,28.42,25.48,20580.08,0.26,1143.34,26,0,3,0,18.0,19.0,79.0,60.0,7.0,0
5.0,1.0,1.0,1.0,14.0,50.19,0.32,3.11,16.8,127.89,0.02,7.11,3,0,0,0,5.0,3.0,9.0,3.0,1.0,0
42.0,3.0,1.0,3.0,151.0,803.38,0.04,22.63,30.87,18760.0,0.27,1042.22,35,0,4,0,13.0,19.0,83.0,67.0,5.0,0
100.0,11.0,6.0,10.0,305.0,1933.65,0.05,21.15,90.79,41183.72,0.61,2287.98,94,8,20,0,19.0,62.0,166.0,124.0,21.0,1
36.0,2.0,1.0,2.0,107.0,544.36,0.09,11.2,49.73,7112.34,0.18,395.13,26,0,6,0,12.0,22.0,58.0,49.0,3.0,1
13.0,2.0,1.0,2.0,33.0,144.95,0.13,8.0,18.23,1028.61,0.05,57.15,10,0,1,0,12.0,6.0,25.0,8.0,3.0,0
8.0,1.0,1.0,1.0,11.0,33.0,0.5,2.0,16.5,66.0,0.01,3.67,3,1,1,0,4.0,4.0,7.0,4.0,1.0,0
39.0,6.0,6.0,2.0,144.0,792.81,0.07,13.55,59.28,10880.54,0.26,604.47,31,0,6,0,12.0,31.0,78.0,70.0,11.0,0
91.0,11.0,1.0,11.0,245.0,1453.03,0.03,37.74,34.54,52898.93,0.48,2938.83,64,6,18,9,20.0,27.0,148.0,97.0,21.0,0
29.0,6.0,1.0,6.0,118.0,581.39,0.07,14.75,36.31,8480.28,0.19,471.13,23,1,2,0,8.0,16.0,58.0,58.0,7.0,0
6.0,1.0,1.0,1.0,16.0,55.35,0.44,2.29,24.22,126.52,0.02,7.03,4,0,0,0,4.0,7.0,9.0,7.0,1.0,1
90.0,14.0,5.0,8.0,212.0,1213.7,0.03,35.71,35.17,43402.17,0.41,2411.23,61,6,18,1,26.0,31.0,132.0,94.0,27.0,1
129.0,16.0,7.0,10.0,403.0,2418.0,0.03,34.5,74.78,81653.08,0.81,4536.28,107,12,15,0,25.0,69.0,221.0,182.0,31.0,1
12.0,2.0,1.0,1.0,23.0,92.0,0.17,5.83,17.84,466.67,0.03,25.93,7,1,2,0,10.0,6.0,16.0,7.0,3.0,0
7.0,2.0,1.0,2.0,13.0,41.21,0.42,2.4,17.17,98.9,0.01,5.49,5,0,0,0,6.0,5.0,7.0,6.0,3.0,0
38.0,4.0,1.0,3.0,83.0,428.6,0.07,14.32,28.52,6318.77,0.14,351.04,28,0,8,0,16.0,19.0,47.0,36.0,7.0,0
130.0,13.0,12.0,12.0,336.0,2030.92,0.03,34.13,61.19,62950.34,0.68,3497.24,106,1,19,0,22.0,50.0,200.0,138.0,25.0,1
28.0,2.0,1.0,1.0,83.0,399.01,0.14,7.33,50.87,2628.33,0.13,146.02,16,0,8,0,12.0,27.0,36.0,37.0,3.0,0
34.0,6.0,4.0,4.0,112.0,586.68,0.06,17.82,28.78,9690.41,0.2,538.36,26,3,4,2,16.0,22.0,64.0,44.0,11.0,0
18.0,1.0,1.0,1.0,48.0,203.9,0.1,10.0,20.39,2039.01,0.07,113.28,15,0,3,0,10.0,11.0,28.0,20.0,1.0,0
29.0,4.0,1.0,4.0,61.0,290.05,0.1,10.16,28.52,2731.23,0.1,151.73,19,4,4,0,13.0,16.0,37.0,24.0,7.0,0
7.0,1.0,1.0,1.0,21.0,69.76,0.33,3.0,20.93,232.53,0.02,12.92,4,0,1,0,6.0,7.0,14.0,7.0,1.0,0
14.0,3.0,1.0,1.0,36.0,158.12,0.14,7.5,22.12,1199.32,0.05,66.63,11,0,1,0,9.0,11.0,21.0,15.0,5.0,0
31.0,10.0,9.0,9.0,118.0,667.43,0.06,17.5,36.24,11950.27,0.22,663.9,25,0,5,0,16.0,24.0,69.0,49.0,19.0,0
50.0,6.0,1.0,6.0,166.0,941.62,0.05,18.31,48.26,16616.31,0.31,923.13,38,0,12,0,17.0,33.0,98.0,74.0,11.0,0
28.0,2.0,1.0,1.0,58.0,269.34,0.12,8.0,33.67,2154.75,0.09,119.71,17,0,2,0,11.0,14.0,34.0,22.0,3.0,1
27.0,3.0,1.0,2.0,62.0,307.16,0.05,21.75,14.54,6655.84,0.1,369.77,20,2,1,1,18.0,10.0,41.0,21.0,5.0,0
86.0,7.0,1.0,6.0,224.0,1205.38,0.04,25.98,48.93,30219.93,0.4,1678.88,51,28,6,2,17.0,29.0,125.0,89.0,13.0,1
36.0,9.0,7.0,4.0,149.0,787.56,0.04,25.94,29.99,21794.71,0.26,1210.82,26,2,4,1,16.0,17.0,92.0,57.0,17.0,1
19.0,2.0,1.0,2.0,55.0,248.8,0.13,7.71,32.21,2115.2,0.08,117.51,14,0,3,0,9.0,14.0,31.0,24.0,3.0,0
27.0,4.0,1.0,2.0,81.0,397.46,0.09,11.33,35.93,4549.46,0.13,252.75,21,0,6,0,12.0,18.0,44.0,35.0,7.0,0
11.0,2.0,1.0,1.0,29.0,116.0,0.12,8.36,13.88,969.43,0.04,53.86,8,0,1,0,9.0,7.0,16.0,13.0,3.0,0
49.0,7.0,1.0,4.0,149.0,803.46,0.05,20.76,43.35,16156.66,0.27,897.59,35,1,5,5,23.0,30.0,82.0,65.0,13.0,0
6.0,1.0,1.0,1.0,13.0,41.21,0.5,2.0,20.6,82.42,0.01,4.58,3,0,1,0,4.0,5.0,7.0,5.0,1.0,1
44.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,1
23.0,4.0,1.0,2.0,60.0,275.1,0.1,10.0,25.88,2626.63,0.09,145.92,18,0,2,1,11.0,13.0,35.0,25.0,7.0,1
16.0,2.0,1.0,2.0,47.0,212.61,0.1,10.5,20.36,1998.64,0.07,111.04,10,1,3,0,11.0,10.0,29.0,18.0,3.0,0
5.0,1.0,1.0,1.0,17.0,62.91,0.44,2.29,25.73,157.27,0.02,8.74,3,0,0,0,4.0,7.0,9.0,8.0,1.0,0
5.0,1.0,1.0,1.0,18.0,66.61,0.22,4.5,13.32,333.04,0.02,18.5,3,0,0,0,7.0,3.0,15.0,3.0,1.0,0
14.0,2.0,1.0,1.0,48.0,222.91,0.08,13.0,16.6,2238.01,0.07,124.33,10,0,2,0,12.0,8.0,30.0,18.0,3.0,0
6.0,1.0,1.0,1.0,12.0,41.51,0.29,3.5,11.86,145.3,0.01,8.07,3,1,0,0,7.0,4.0,8.0,4.0,1.0,0
4.0,2.0,1.0,1.0,17.0,60.94,0.22,4.5,13.54,274.25,0.02,15.24,2,0,0,0,9.0,3.0,14.0,3.0,3.0,0
64.0,4.0,1.0,4.0,223.0,1312.47,0.05,20.31,83.29,26457.27,0.44,1469.85,44,5,9,0,20.0,47.0,118.0,89.0,7.0,0
13.0,3.0,1.0,2.0,20.0,80.0,0.16,6.43,11.28,536.04,0.03,29.78,10,0,1,0,9.0,7.0,12.0,8.0,5.0,0
18.0,2.0,1.0,2.0,44.0,196.21,0.12,8.5,23.74,1689.87,0.07,93.88,13,0,3,0,9.0,11.0,27.0,17.0,3.0,0
16.0,3.0,1.0,1.0,39.0,162.52,0.17,5.82,30.37,860.54,0.05,47.81,8,0,3,0,8.0,11.0,23.0,16.0,5.0,0
7.0,2.0,1.0,2.0,34.0,144.43,0.13,7.55,20.0,1043.09,0.05,57.95,4,0,1,0,10.0,10.0,21.0,13.0,3.0,0
86.0,14.0,12.0,14.0,223.0,1278.96,0.04,23.78,52.77,31310.62,0.43,1739.48,61,1,5,0,16.0,36.0,126.0,107.0,27.0,1
10.0,3.0,1.0,3.0,24.0,96.0,0.17,5.79,16.59,555.43,0.03,30.86,8,0,0,0,9.0,7.0,13.0,9.0,4.0,0
52.0,6.0,1.0,5.0,153.0,982.44,0.07,13.53,72.26,11680.72,0.33,648.93,38,3,6,0,13.0,35.0,76.0,77.0,11.0,0
22.0,3.0,1.0,2.0,49.0,200.29,0.1,9.78,20.54,1971.73,0.07,109.56,14,0,3,0,11.0,9.0,27.0,20.0,5.0,0
10.0,2.0,1.0,2.0,21.0,82.04,0.3,3.33,23.36,300.83,0.03,16.71,7,0,1,0,6.0,9.0,13.0,10.0,3.0,0
39.0,10.0,10.0,5.0,126.0,695.97,0.07,15.0,47.6,10558.43,0.23,586.58,24,5,8,0,15.0,26.0,69.0,57.0,19.0,0
9.0,2.0,1.0,2.0,22.0,77.71,0.15,6.67,11.56,558.13,0.03,31.01,6,0,1,0,8.0,6.0,12.0,10.0,3.0,0
89.0,7.0,1.0,5.0,242.0,1381.65,0.03,31.91,46.54,49382.78,0.46,2738.81,61,8,12,0,21.0,34.0,147.0,105.0,13.0,1
4.0,1.0,1.0,1.0,10.0,33.22,0.29,3.5,9.49,94.75,0.01,5.26,2,0,0,0,7.0,3.0,7.0,3.0,1.0,0
7.0,1.0,1.0,1.0,14.0,44.38,0.19,5.25,8.88,210.8,0.01,11.71,4,1,0,0,7.0,4.0,7.0,6.0,1.0,0
42.0,7.0,3.0,3.0,107.0,524.01,0.05,19.56,27.54,9795.15,0.17,544.18,36,1,3,0,16.0,18.0,73.0,40.0,13.0,0
14.0,1.0,1.0,1.0,46.0,191.82,0.15,6.5,31.77,1393.82,0.06,77.43,12,0,0,0,9.0,14.0,26.0,20.0,1.0,0
20.0,2.0,1.0,2.0,78.0,390.14,0.14,6.95,56.49,2609.93,0.13,144.05,16,0,2,0,11.0,23.0,44.0,36.0,3.0,0
50.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,7.0,0
16.0,3.0,1.0,3.0,58.0,272.63,0.15,6.5,49.82,1912.37,0.09,106.24,13,0,1,0,10.0,18.0,35.0,23.0,5.0,0
21.0,1.0,1.0,1.0,90.0,403.21,0.17,5.89,66.85,2316.26,0.13,128.68,17,1,1,0,7.0,22.0,53.0,37.0,1.0,0
23.0,3.0,1.0,3.0,91.0,477.02,0.09,11.18,41.52,5338.04,0.16,296.56,18,0,5,0,12.0,22.0,52.0,39.0,5.0,0
26.0,2.0,1.0,2.0,78.0,366.61,0.12,8.08,41.8,3161.49,0.13,175.61,14,6,5,0,11.0,20.0,49.0,29.0,3.0,0
20.0,3.0,1.0,3.0,50.0,240.37,0.07,15.0,15.85,3385.75,0.08,188.1,15,0,3,0,15.0,10.0,30.0,20.0,5.0,1
7.0,2.0,1.0,2.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,5,1,0,0,5.0,4.0,6.0,4.0,3.0,0
20.0,4.0,1.0,3.0,39.0,171.3,0.11,8.67,18.25,1519.52,0.06,84.42,14,2,2,0,12.0,9.0,26.0,13.0,7.0,1
22.0,5.0,5.0,2.0,63.0,325.71,0.05,20.25,15.58,6388.89,0.11,354.94,15,0,3,1,22.0,11.0,45.0,22.0,9.0,1
21.0,6.0,3.0,5.0,97.0,471.22,0.05,21.14,23.43,9959.36,0.16,553.3,18,0,1,0,16.0,14.0,60.0,37.0,11.0,0
25.0,2.0,1.0,2.0,94.0,465.69,0.05,19.5,24.33,10101.99,0.16,561.22,13,2,6,0,16.0,16.0,55.0,39.0,3.0,0
11.0,2.0,1.0,1.0,17.0,62.91,0.22,4.5,15.73,256.87,0.02,14.27,9,0,0,0,9.0,6.0,10.0,7.0,3.0,0
16.0,3.0,1.0,1.0,41.0,148.68,0.06,15.0,9.16,2491.25,0.05,138.4,13,0,1,0,10.0,4.0,27.0,14.0,5.0,0
9.0,2.0,1.0,2.0,29.0,127.38,0.23,4.67,28.12,554.35,0.04,30.8,6,0,1,0,7.0,12.0,16.0,13.0,3.0,0
32.0,5.0,3.0,1.0,103.0,495.16,0.07,14.57,32.83,8220.18,0.17,456.68,24,2,4,0,18.0,21.0,68.0,35.0,9.0,0
28.0,3.0,1.0,2.0,95.0,466.15,0.05,21.25,23.43,9206.27,0.16,511.46,18,0,8,1,17.0,12.0,63.0,32.0,4.0,0
92.0,15.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,29.0,1
14.0,2.0,1.0,2.0,23.0,83.76,0.16,6.3,13.3,527.7,0.03,29.32,8,1,3,0,7.0,5.0,14.0,9.0,3.0,0
7.0,1.0,1.0,1.0,16.0,53.77,0.4,2.5,21.51,168.44,0.02,9.42,4,0,1,0,5.0,5.0,11.0,5.0,1.0,0
33.0,3.0,1.0,4.0,99.0,499.4,0.07,14.61,36.56,7634.85,0.17,424.16,21,0,8,0,14.0,23.0,53.0,48.0,5.0,0
79.0,16.0,6.0,2.0,274.0,1482.59,0.02,46.47,30.96,53725.81,0.49,2984.77,63,1,12,1,23.0,27.0,131.0,123.0,31.0,1
35.0,4.0,1.0,4.0,99.0,503.92,0.07,14.96,33.7,8468.34,0.17,470.46,26,2,4,1,15.0,25.0,61.0,43.0,7.0,0
20.0,3.0,1.0,2.0,55.0,242.9,0.07,13.41,17.15,3441.07,0.08,191.17,16,0,3,0,12.0,11.0,34.0,23.0,5.0,0
47.0,5.0,1.0,4.0,84.0,403.82,0.06,15.5,26.05,6259.18,0.13,347.73,28,10,7,0,16.0,14.0,53.0,31.0,9.0,0
8.0,1.0,1.0,1.0,21.0,77.71,0.33,3.0,25.9,233.13,0.03,12.95,5,0,1,0,5.0,7.0,14.0,9.0,1.0,0
25.0,6.0,6.0,3.0,48.0,203.9,0.1,10.13,20.39,2039.01,0.07,113.28,20,0,3,0,9.0,8.0,27.0,21.0,11.0,0
42.0,6.0,1.0,5.0,184.0,1038.47,0.06,16.92,58.68,20522.49,0.34,1140.14,33,0,3,4,14.0,30.0,112.0,74.0,11.0,0
19.0,2.0,1.0,2.0,53.0,225.14,0.08,13.3,17.24,2940.89,0.08,163.38,10,3,2,2,11.0,10.0,34.0,19.0,3.0,0
47.0,14.0,14.0,13.0,137.0,692.73,0.05,18.24,38.94,12391.41,0.23,688.21,36,4,3,0,15.0,19.0,87.0,50.0,27.0,0
60.0,7.0,1.0,4.0,82.0,420.6,0.08,12.83,34.28,7283.6,0.14,404.64,46,0,11,0,14.0,20.0,52.0,34.0,13.0,0
38.0,7.0,4.0,5.0,118.0,641.69,0.06,17.82,38.78,10159.3,0.21,564.41,31,0,4,0,18.0,29.0,67.0,53.0,13.0,1
113.0,14.0,11.0,12.0,526.0,3218.71,0.02,50.0,63.59,212465.05,1.04,11803.61,96,8,12,0,28.0,57.0,308.0,240.0,27.0,1
97.0,11.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20.0,0.0,0.0,0.0,21.0,1
9.0,1.0,1.0,1.0,17.0,65.73,0.3,3.33,19.72,219.1,0.02,12.17,5,1,2,0,5.0,6.0,9.0,8.0,1.0,0
90.0,12.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,23.0,1
8.0,2.0,1.0,2.0,28.0,110.41,0.13,7.71,15.45,833.99,0.04,46.33,5,0,1,0,9.0,7.0,15.0,13.0,3.0,0
13.0,2.0,1.0,1.0,28.0,118.94,0.14,7.0,15.78,866.67,0.04,48.16,8,0,3,0,8.0,6.0,16.0,12.0,3.0,0
22.0,3.0,1.0,2.0,38.0,155.32,0.08,12.0,12.89,1878.19,0.05,104.34,16,0,2,2,10.0,7.0,22.0,16.0,5.0,1
16.0,2.0,1.0,2.0,46.0,198.81,0.12,8.5,23.39,1689.87,0.07,93.88,10,0,2,0,10.0,10.0,29.0,17.0,3.0,1
63.0,3.0,1.0,3.0,211.0,1144.94,0.07,14.0,75.08,20554.47,0.38,1147.89,54,0,5,0,14.0,38.0,133.0,78.0,5.0,1
46.0,5.0,1.0,4.0,122.0,734.53,0.06,17.54,40.53,11750.88,0.24,652.83,35,3,4,0,18.0,26.0,74.0,49.0,9.0,0
11.0,2.0,1.0,1.0,15.0,55.51,0.21,4.67,11.89,258.3,0.02,14.35,7,0,2,0,8.0,3.0,11.0,4.0,3.0,1
36.0,4.0,1.0,4.0,75.0,375.0,0.14,7.29,53.57,3307.46,0.15,183.75,24,0,9,0,12.0,21.0,48.0,29.0,7.0,1
9.0,2.0,1.0,2.0,34.0,138.97,0.18,5.6,22.56,739.96,0.05,41.11,7,0,0,0,11.0,10.0,20.0,13.0,3.0,0
17.0,1.0,1.0,1.0,46.0,216.64,0.22,4.5,33.65,712.75,0.07,39.6,9,3,3,0,9.0,16.0,26.0,16.0,1.0,0
23.0,4.0,1.0,3.0,62.0,298.06,0.1,10.4,28.69,3101.34,0.1,172.3,19,0,2,0,12.0,15.0,33.0,27.0,7.0,0
121.0,13.0,1.0,10.0,398.0,2413.58,0.03,34.14,62.69,84414.26,0.8,4689.68,102,18,18,6,24.0,51.0,240.0,162.0,25.0,0
105.0,14.0,8.0,7.0,405.0,2458.94,0.03,36.58,60.54,64375.11,0.82,3576.39,90,0,13,2,23.0,46.0,240.0,159.0,27.0,1
35.0,5.0,1.0,5.0,117.0,638.75,0.07,14.69,46.6,9617.54,0.21,534.31,26,0,6,0,15.0,24.0,64.0,53.0,6.0,0
24.0,3.0,1.0,2.0,75.0,390.71,0.07,13.6,30.13,7994.02,0.13,444.11,19,0,3,0,16.0,25.0,39.0,36.0,5.0,0
22.0,4.0,4.0,2.0,60.0,278.63,0.05,19.56,14.25,5448.79,0.09,302.71,17,1,1,0,16.0,8.0,38.0,22.0,7.0,0
14.0,3.0,1.0,1.0,37.0,155.59,0.11,8.75,16.91,1258.13,0.05,69.9,12,0,0,0,10.0,8.0,23.0,14.0,5.0,0
7.0,1.0,1.0,1.0,10.0,31.7,0.4,2.5,12.68,79.25,0.01,4.4,3,0,2,0,5.0,4.0,6.0,4.0,1.0,0
23.0,4.0,3.0,3.0,79.0,377.83,0.08,12.0,32.65,4526.5,0.13,251.81,17,0,3,0,12.0,16.0,47.0,32.0,7.0,1
10.0,2.0,1.0,2.0,30.0,131.77,0.13,7.8,17.48,1057.26,0.04,58.74,7,0,1,0,9.0,5.0,18.0,12.0,3.0,0
35.0,5.0,1.0,5.0,84.0,417.09,0.05,25.0,16.78,9821.35,0.14,545.63,22,0,9,0,16.0,12.0,54.0,35.0,9.0,0
13.0,2.0,1.0,2.0,23.0,94.01,0.16,6.29,13.88,602.27,0.03,33.46,9,0,2,0,11.0,7.0,15.0,8.0,3.0,0
48.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,13.0,0
30.0,2.0,1.0,1.0,84.0,430.0,0.11,9.35,51.68,3718.1,0.14,206.56,19,0,7,0,11.0,20.0,48.0,36.0,3.0,0
